+--------+--------+--------+--------+--------+-----+---------------+---------------------+---------------------+
|  PCA   | Kernel |   c    | degree | gamma  |  K  | Working Point |        minDCF       |        C_prim       |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.6263821508586919 |
| No PCA |  Poly  |  0.1   |   3    |   -    |  10 |  (0.1, 1, 1)  |  0.8313985094626574 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2761493260193283 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5537739177409928 |
| No PCA |  Poly  |   1    |   2    |   -    | 0.1 |  (0.1, 1, 1)  |  0.4475202608271246 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.10352401116923157 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.2755221359981781 |
| No PCA |  Poly  |   1    |   2    |   -    |  1  |  (0.1, 1, 1)  |  0.4183084473354318 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.09783547620099994 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.2580719617682159 |
| No PCA |  Poly  |   1    |   2    |   -    |  10 |  (0.1, 1, 1)  | 0.44022964170921697 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.11124493058235618 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.2757372861457866 |
| No PCA |  Poly  |   1    |   3    |   -    | 0.1 |  (0.1, 1, 1)  |  0.9163130442955421 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.3906143198604129 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.6534636820779774 |
| No PCA |  Poly  |   1    |   3    |   -    |  1  |  (0.1, 1, 1)  |  0.9288718465064013 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.42117978815306734 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.6750258173297343 |
| No PCA |  Poly  |   1    |   3    |   -    |  10 |  (0.1, 1, 1)  |  0.8088963618207015 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.32070288150776183 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5647996216642317 |
| No PCA |  RBF   | 0.0001 |   -    | 1e-05  | 0.1 |  (0.1, 1, 1)  |  0.9758848539768344 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9206784854824992 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9482816697296668 |
| No PCA |  RBF   | 0.0001 |   -    | 0.0001 | 0.1 |  (0.1, 1, 1)  |  0.9745266693068967 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.915244957493172  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9448858134000344 |
| No PCA |  RBF   | 0.0001 |   -    | 0.001  | 0.1 |  (0.1, 1, 1)  |  0.9705905133397177 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8782410964177775 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9244158048787476 |
| No PCA |  RBF   | 0.0001 |   -    |  0.01  | 0.1 |  (0.1, 1, 1)  |  0.8164854424844356 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30812830346860764 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5623068729765216 |
| No PCA |  RBF   | 0.0001 |   -    |  0.1   | 0.1 |  (0.1, 1, 1)  |  0.7277150528118687 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2265980664201502 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47715655961600945 |
| No PCA |  RBF   | 0.0001 |   -    |   1    | 0.1 |  (0.1, 1, 1)  |  0.7373878713395686 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2857397353470884 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5115638033433285 |
| No PCA |  RBF   | 0.0001 |   -    | 1e-05  |  1  |  (0.1, 1, 1)  |  0.9758848539768344 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9206784854824992 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9482816697296668 |
| No PCA |  RBF   | 0.0001 |   -    | 0.0001 |  1  |  (0.1, 1, 1)  |  0.9745266693068967 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.915244957493172  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9448858134000344 |
| No PCA |  RBF   | 0.0001 |   -    | 0.001  |  1  |  (0.1, 1, 1)  |  0.9705905133397177 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8782410964177775 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9244158048787476 |
| No PCA |  RBF   | 0.0001 |   -    |  0.01  |  1  |  (0.1, 1, 1)  |  0.8164854424844356 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30812830346860764 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5623068729765216 |
| No PCA |  RBF   | 0.0001 |   -    |  0.1   |  1  |  (0.1, 1, 1)  |  0.7277150528118687 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2265980664201502 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47715655961600945 |
| No PCA |  RBF   | 0.0001 |   -    |   1    |  1  |  (0.1, 1, 1)  |  0.7373878713395686 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.3180694602261293 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5277286657828489 |
| No PCA |  RBF   | 0.0001 |   -    | 1e-05  |  10 |  (0.1, 1, 1)  |  0.9800623582306927 |          -          |
