+----------+------+--------+-------------------+-------------------+-----------+
| Prior pi | PCA  |   λ    | minDCF (pi = 0.1) | minDCF (pi = 0.5) | min Cprim |
|   0.2    |  5   |  0.01  |       0.387       |       0.113       |    0.25   |
|   0.2    |  5   |  0.1   |        0.38       |        0.11       |   0.245   |
|   0.2    |  5   |   1    |       0.407       |       0.106       |   0.257   |
|   0.2    |  5   |   10   |       0.425       |        0.11       |   0.267   |
|   0.2    |  5   |  100   |       0.447       |       0.119       |   0.283   |
|   0.2    |  5   |  1000  |       0.504       |       0.128       |   0.316   |
|   0.2    |  4   | 1e-05  |       0.485       |       0.129       |   0.307   |
|   0.2    |  4   | 0.0001 |       0.485       |       0.129       |   0.307   |
|   0.2    |  4   | 0.001  |       0.484       |       0.129       |   0.306   |
|   0.2    |  4   |  0.01  |       0.481       |       0.129       |   0.305   |
|   0.2    |  4   |  0.1   |       0.489       |       0.127       |   0.308   |
|   0.2    |  4   |   1    |        0.51       |       0.124       |   0.317   |
|   0.2    |  4   |   10   |       0.514       |       0.126       |    0.32   |
|   0.2    |  4   |  100   |       0.537       |       0.128       |   0.333   |
|   0.2    |  4   |  1000  |       0.557       |       0.133       |   0.345   |
|   0.2    |  3   | 1e-05  |       0.541       |       0.133       |   0.337   |
|   0.2    |  3   | 0.0001 |       0.541       |       0.134       |   0.337   |
|   0.2    |  3   | 0.001  |       0.541       |       0.134       |   0.337   |
|   0.2    |  3   |  0.01  |       0.541       |       0.134       |   0.337   |
|   0.2    |  3   |  0.1   |       0.539       |       0.133       |   0.336   |
|   0.2    |  3   |   1    |       0.537       |       0.134       |   0.336   |
|   0.2    |  3   |   10   |       0.542       |       0.133       |   0.338   |
|   0.2    |  3   |  100   |       0.541       |       0.134       |   0.337   |
|   0.2    |  3   |  1000  |       0.572       |       0.133       |   0.353   |
|   0.2    |  2   | 1e-05  |       0.757       |       0.212       |   0.484   |
|   0.2    |  2   | 0.0001 |       0.757       |       0.212       |   0.484   |
|   0.2    |  2   | 0.001  |       0.757       |       0.212       |   0.484   |
|   0.2    |  2   |  0.01  |       0.757       |       0.211       |   0.484   |
|   0.2    |  2   |  0.1   |       0.761       |        0.21       |   0.486   |
|   0.2    |  2   |   1    |       0.781       |       0.212       |   0.497   |
|   0.2    |  2   |   10   |        0.8        |       0.218       |   0.509   |
|   0.2    |  2   |  100   |       0.797       |       0.224       |   0.511   |
|   0.2    |  2   |  1000  |       0.812       |       0.226       |   0.519   |
|   0.2    | None | 1e-05  |       0.386       |       0.111       |   0.249   |
|   0.2    | None | 0.0001 |       0.386       |       0.111       |   0.249   |
|   0.2    | None | 0.001  |       0.386       |       0.111       |   0.249   |
|   0.2    | None |  0.01  |       0.389       |       0.111       |    0.25   |
|   0.2    | None |  0.1   |       0.377       |        0.11       |   0.244   |
|   0.2    | None |   1    |       0.411       |       0.107       |   0.259   |
|   0.2    | None |   10   |       0.436       |        0.11       |   0.273   |
|   0.2    | None |  100   |       0.456       |       0.117       |   0.286   |
|   0.2    | None |  1000  |       0.499       |       0.128       |   0.313   |
+----------+------+--------+-------------------+-------------------+-----------+
